UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:59 ?        00:00:07 /sbin/init splash
root           2       0  0 20:59 ?        00:00:00 [kthreadd]
root           3       2  0 20:59 ?        00:00:00 [rcu_gp]
root           4       2  0 20:59 ?        00:00:00 [rcu_par_gp]
root           6       2  0 20:59 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 20:59 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 20:59 ?        00:00:00 [rcu_tasks_rude_]
root          10       2  0 20:59 ?        00:00:00 [rcu_tasks_trace]
root          11       2  0 20:59 ?        00:00:01 [ksoftirqd/0]
root          12       2  0 20:59 ?        00:00:00 [rcu_sched]
root          13       2  0 20:59 ?        00:00:00 [migration/0]
root          14       2  0 20:59 ?        00:00:00 [idle_inject/0]
root          15       2  0 20:59 ?        00:00:08 [kworker/0:1-events]
root          16       2  0 20:59 ?        00:00:00 [cpuhp/0]
root          17       2  0 20:59 ?        00:00:00 [kdevtmpfs]
root          18       2  0 20:59 ?        00:00:00 [netns]
root          19       2  0 20:59 ?        00:00:00 [inet_frag_wq]
root          20       2  0 20:59 ?        00:00:00 [kauditd]
root          21       2  0 20:59 ?        00:00:00 [khungtaskd]
root          22       2  0 20:59 ?        00:00:00 [oom_reaper]
root          23       2  0 20:59 ?        00:00:00 [writeback]
root          24       2  0 20:59 ?        00:00:00 [kcompactd0]
root          25       2  0 20:59 ?        00:00:00 [ksmd]
root          26       2  0 20:59 ?        00:00:00 [khugepaged]
root          72       2  0 20:59 ?        00:00:00 [kintegrityd]
root          73       2  0 20:59 ?        00:00:00 [kblockd]
root          74       2  0 20:59 ?        00:00:00 [blkcg_punt_bio]
root          75       2  0 20:59 ?        00:00:00 [tpm_dev_wq]
root          76       2  0 20:59 ?        00:00:00 [ata_sff]
root          77       2  0 20:59 ?        00:00:00 [md]
root          78       2  0 20:59 ?        00:00:00 [edac-poller]
root          79       2  0 20:59 ?        00:00:00 [devfreq_wq]
root          80       2  0 20:59 ?        00:00:00 [watchdogd]
root          82       2  0 20:59 ?        00:00:05 [kworker/0:1H-kblockd]
root          84       2  0 20:59 ?        00:00:00 [kswapd0]
root          85       2  0 20:59 ?        00:00:00 [ecryptfs-kthrea]
root          87       2  0 20:59 ?        00:00:00 [kthrotld]
root          88       2  0 20:59 ?        00:00:00 [acpi_thermal_pm]
root          89       2  0 20:59 ?        00:00:00 [scsi_eh_0]
